Countries or areas;European Region;Natural Disaster;Total Occurences 1990-2019;Total Deaths 1990-2019;Total Number of Persons Affected 1990-2019
Belgium;Western Europe;Climatological;1;0;0
Bulgaria;Eastern Europe;Climatological;6;10;176
Croatia;Southern Europe;Climatological;7;13;106
Cyprus;Southern Europe;Climatological;3;0;0
Denmark;Northern Europe;Climatological;1;0;0
France;Western Europe;Climatological;17;112;18429
Greece;Southern Europe;Climatological;15;206;13777
Hungary;Eastern Europe;Climatological;3;0;0
Italy;Southern Europe;Climatological;11;21;320
Latvia;Northern Europe;Climatological;1;0;0
Lithuania;Northern Europe;Climatological;3;0;0
Poland;Eastern Europe;Climatological;3;35;0
Portugal;Southern Europe;Climatological;17;206;155151
Romania;Eastern Europe;Climatological;2;0;0
Slovakia;Eastern Europe;Climatological;1;6;0
Spain;Southern Europe;Climatological;21;74;6020227
Sweden;Northern Europe;Climatological;1;0;0
Austria;Western Europe;Geophysical;1;0;0
Belgium;Western Europe;Geophysical;1;0;0
Bulgaria;Eastern Europe;Geophysical;3;1;737
Croatia;Southern Europe;Geophysical;1;0;2000
Cyprus;Southern Europe;Geophysical;1;2;1865
France;Western Europe;Geophysical;1;0;754
Germany;Western Europe;Geophysical;2;1;1675
Greece;Southern Europe;Geophysical;17;205;230482
Hungary;Eastern Europe;Geophysical;1;0;1800
Italy;Southern Europe;Geophysical;19;714;173049
Netherlands;Western Europe;Geophysical;1;0;20
Romania;Eastern Europe;Geophysical;3;9;6550
Slovenia;Southern Europe;Geophysical;2;1;1305
Spain;Southern Europe;Geophysical;2;10;15320
Austria;Western Europe;Hydrological;15;94;71616
Belgium;Western Europe;Hydrological;13;7;4175
Bulgaria;Eastern Europe;Hydrological;20;82;60617
Croatia;Southern Europe;Hydrological;12;4;15512
Czechia;Eastern Europe;Hydrological;13;100;1622332
Finland;Northern Europe;Hydrological;1;0;400
France;Western Europe;Hydrological;43;230;72662
Germany;Western Europe;Hydrological;18;66;543708
Greece;Southern Europe;Hydrological;24;73;21154
Hungary;Eastern Europe;Hydrological;15;10;238865
Ireland;Western Europe;Hydrological;5;5;4700
Italy;Southern Europe;Hydrological;41;418;102558
Lithuania;Northern Europe;Hydrological;2;4;0
Luxembourg;Western Europe;Hydrological;1;0;0
Netherlands;Western Europe;Hydrological;3;1;15000
Poland;Eastern Europe;Hydrological;10;115;346253
Portugal;Southern Europe;Hydrological;9;63;4314
Romania;Eastern Europe;Hydrological;48;440;398788
Slovakia;Eastern Europe;Hydrological;12;65;48995
Slovenia;Southern Europe;Hydrological;3;3;14550
Spain;Southern Europe;Hydrological;22;182;18074
Austria;Western Europe;Meteorological;23;383;630
Belgium;Western Europe;Meteorological;32;3286;1778
Bulgaria;Eastern Europe;Meteorological;14;79;6283
Croatia;Southern Europe;Meteorological;8;842;3700
Cyprus;Southern Europe;Meteorological;5;61;540
Czechia;Eastern Europe;Meteorological;13;490;15
Denmark;Northern Europe;Meteorological;10;15;0
Estonia;Northern Europe;Meteorological;4;11;100
Finland;Northern Europe;Meteorological;2;0;0
France;Western Europe;Meteorological;72;26044;4027055
Germany;Western Europe;Meteorological;57;9646;30670
Greece;Southern Europe;Meteorological;11;68;911
Hungary;Eastern Europe;Meteorological;12;718;23298
Ireland;Western Europe;Meteorological;14;19;200
Italy;Southern Europe;Meteorological;28;20256;4717
Latvia;Northern Europe;Meteorological;7;92;0
Lithuania;Northern Europe;Meteorological;9;100;780000
Luxembourg;Western Europe;Meteorological;10;170;1519
Netherlands;Western Europe;Meteorological;27;2405;250101
Poland;Eastern Europe;Meteorological;35;2143;8723
Portugal;Southern Europe;Meteorological;15;3241;4379
Romania;Eastern Europe;Meteorological;30;584;18852
Slovakia;Eastern Europe;Meteorological;8;131;10413
Slovenia;Southern Europe;Meteorological;4;296;51050
Spain;Southern Europe;Meteorological;26;15290;742
Sweden;Northern Europe;Meteorological;7;18;0
